case_id,arm,category
baseline:S001,baseline,billing
baseline:S002,baseline,billing
baseline:S003,baseline,billing
baseline:S004,baseline,billing
baseline:S005,baseline,technical
baseline:S006,baseline,technical
baseline:S007,baseline,general
baseline:S008,baseline,general
baseline:S009,baseline,general
baseline:S010,baseline,billing
baseline:S011,baseline,billing
baseline:S012,baseline,billing
baseline:S013,baseline,billing
baseline:S014,baseline,billing
baseline:S015,baseline,technical
baseline:S016,baseline,technical
baseline:S017,baseline,general
baseline:S018,baseline,general
baseline:S019,baseline,general
baseline:S020,baseline,billing
baseline:S021,baseline,billing
baseline:S022,baseline,billing
baseline:S023,baseline,billing
baseline:S024,baseline,billing
baseline:S025,baseline,technical
baseline:S026,baseline,technical
baseline:S027,baseline,general
baseline:S028,baseline,general
baseline:S029,baseline,general
baseline:S030,baseline,billing
baseline:S031,baseline,billing
baseline:S032,baseline,billing
baseline:S033,baseline,billing
baseline:S034,baseline,billing
baseline:S035,baseline,technical
baseline:S036,baseline,technical
baseline:S037,baseline,general
baseline:S038,baseline,general
baseline:S039,baseline,general
baseline:S040,baseline,billing
candidate:S001,candidate,billing
candidate:S002,candidate,billing
candidate:S003,candidate,billing
candidate:S004,candidate,billing
candidate:S005,candidate,technical
candidate:S006,candidate,technical
candidate:S007,candidate,general
candidate:S008,candidate,general
candidate:S009,candidate,general
candidate:S010,candidate,billing
candidate:S011,candidate,billing
candidate:S012,candidate,billing
candidate:S013,candidate,billing
candidate:S014,candidate,billing
candidate:S015,candidate,technical
candidate:S016,candidate,technical
candidate:S017,candidate,general
candidate:S018,candidate,general
candidate:S019,candidate,general
candidate:S020,candidate,billing
candidate:S021,candidate,billing
candidate:S022,candidate,billing
candidate:S023,candidate,billing
candidate:S024,candidate,billing
candidate:S025,candidate,technical
candidate:S026,candidate,technical
candidate:S027,candidate,general
candidate:S028,candidate,general
candidate:S029,candidate,general
candidate:S030,candidate,billing
candidate:S031,candidate,billing
candidate:S032,candidate,billing
candidate:S033,candidate,billing
candidate:S034,candidate,billing
candidate:S035,candidate,technical
candidate:S036,candidate,technical
candidate:S037,candidate,general
candidate:S038,candidate,general
candidate:S039,candidate,general
candidate:S040,candidate,billing
