case_id,accepted
baseline:S001,true
baseline:S002,false
baseline:S003,true
baseline:S004,false
baseline:S005,true
baseline:S006,false
baseline:S007,true
baseline:S008,false
baseline:S009,true
baseline:S010,false
baseline:S011,true
baseline:S012,false
baseline:S013,true
baseline:S014,false
baseline:S015,true
baseline:S016,false
baseline:S017,true
baseline:S018,false
baseline:S019,true
baseline:S020,false
baseline:S021,true
baseline:S022,false
baseline:S023,true
baseline:S024,false
baseline:S025,true
baseline:S026,false
baseline:S027,true
baseline:S028,false
baseline:S029,true
baseline:S030,false
baseline:S031,true
baseline:S032,false
baseline:S033,true
baseline:S034,false
baseline:S035,true
baseline:S036,false
baseline:S037,true
baseline:S038,false
baseline:S039,true
baseline:S040,false
candidate:S001,true
candidate:S002,true
candidate:S003,true
candidate:S004,true
candidate:S005,true
candidate:S006,true
candidate:S007,true
candidate:S008,true
candidate:S009,true
candidate:S010,true
candidate:S011,true
candidate:S012,true
candidate:S013,true
candidate:S014,true
candidate:S015,true
candidate:S016,true
candidate:S017,true
candidate:S018,true
candidate:S019,true
candidate:S020,true
candidate:S021,true
candidate:S022,true
candidate:S023,true
candidate:S024,true
candidate:S025,true
candidate:S026,true
candidate:S027,true
candidate:S028,true
candidate:S029,true
candidate:S030,true
candidate:S031,true
candidate:S032,true
candidate:S033,true
candidate:S034,true
candidate:S035,true
candidate:S036,true
candidate:S037,true
candidate:S038,true
candidate:S039,true
candidate:S040,true
